msg_content,msg_id
"Создаем новый сервисный аккаунт  В окне создания аккаунта вводим имя, а затем формируем новый ключ. Выбираем, что нам необходим JSON-ключ и затем нажимаем «Создать». Включаем Analytics API Для созданного нами сервисного аккаунта необходимо включить Analytics API.",22
"Когда мы все установили, Analytics API должен гореть зеленым  Добавляем сервисного пользователя в Google Analytics Далее, необходимо добавить созданного нами сервисного пользователя в Google Analytics. Пользователь будет иметь примерно такой вид:  user@PROJECT-ID.iam.gserviceaccount.com.  Необходимо добавлять пользователя (https://support.google.com/analytics/answer/1009702) с правами на Чтение и Просмотр. Создаем новый источник данных в Redash Идем в Настройки (Settings) -> Добавляем новый источник данных",24
"Подключаем новый источник данных.  Нас интересует источник данных Google Analytics, поэтому ищем «google»:",26
"Ищем google analytics в источниках данных.  Вспоминаем, куда мы сохранили JSON файл, он нам сейчас потребуется",28
"Выбираем созданный ранее JSON файл  Пишем запрос к новому источнику данных Именно в таком виде запрос выполняется в консоли redash: {     ""ids"": ""ga:128886640"",     ""start_date"": ""30daysAgo"",     ""end_date"": ""yesterday"",     ""metrics"": ""ga:users,ga:newUsers,ga:goal1Starts,ga:goal2Completions,ga:goal3Starts,ga:transactions,ga:transactionRevenue"",      ""dimensions"": ""ga:date"" }Как узнать параметры для выполнения запроса? У Google есть отличный ресурс Query Explorer (https://ga-dev-tools.appspot.com/query-explorer/), в котором можно найти все необходимые метрики и измерения, которые доступны в Google Analytics. Надеюсь, данная инструкция оказалась вам полезной, далее мы разберемся как построить воронку целей в Redash на основании данных из Google Analytics.",30
"Строим funnel-репорт в redash http://leftjoin.ru/all/stroim-funnel-report-v-redash/  Итак, мы планировали разобрать Funnel-визуализацию отчета в redash.  В первую очередь, построим запрос к подключенному нами источнику данных (http://leftjoin.ru/all/kak-podklyuchit-google-analytics-k-redash/) — google analytics. Прямо вот такой текст необходимо положить в консоль запроса: {     ""ids"": ""ga:128886640"",     ""start_date"": ""30daysAgo"",     ""end_date"": ""yesterday"",     ""metrics"": ""ga:users,ga:goal1Completions,ga:goal2Completions,ga:goal3Completions"" }Мы данном запросе мы просим API Google Analytics отдать данные за последние 30 дней по аккаунту GA: 128886640. Мы хотим увидеть число пользователей и число выполнения целей 1, 2 и 3. В итоге получаем таблицу следующего вида:  ga:users ga:goal1Completions ga:goal2Completions ga:goal3Completions 3,926 105 41 32  Отлично, это именно то, что нам нужно для построения воронки.  Расскажу об одной очень полезной фиче Redash: query-results. Чтобы подключить таблицы с результатами выполнения запросов, идем в Data Sources и ищем query-results (beta). Подключаем новый источник данных.  Теперь у нас появилась возможность обращаться к результатам запросов redash. Так, например, мы можем воспользоваться результатами запроса к Google Analytics. Как это сделать?  Необходимо выбрать слева источник данных query-results:",31
"Выпадающее меню с выбором источников данных (в консоли — слева)  Теперь научимся делать funnel-визуализацию. Для этого пишем следующий SQL-запрос: select 'Добавление товара в корзину' as step_name, ga_goal1Completions as goalCompletion from query_8 union all select 'Просмотр корзины' as step_name, ga_goal2Completions from query_8 union all select 'Оформление заказа' as step_name, ga_goal3Completions from query_8В данном случае query_8 — это как раз таблица с результатами запроса к источнику данных Google Analytics. Настроим визуализацию:",32
"Аккуратно выбираем параметры, чтобы получить желаемый результат  В итоге мы получаем воронку конверсий из одной цели в другую:",34
Данную воронку можно отобразить в дашборде и добавить к ней фильтры / параметры,36
"Собираем данные с чеков гипермаркетов на Python http://leftjoin.ru/all/sobiraem-dannye-s-chekov-gipermarketov-na-python/  Недавно, покупая в очередной раз продукты в гипермаркете, вспомнил, что согласно ФЗ-54 любой оператор торговли, который пробивает кассовый чек, обязан отправлять данные чека в налоговую.",37
"Чек из гипермаркета «Лента», QR-код, который нас интересует, обведен  Что это значит для нас, аналитиков данных? Что мы можем лучше узнать себя, свои потребности и получить интересные данные о собственных покупках. Попробуем в рамках серии постов собрать небольшой прототип приложения, которое позволит строить динамику своих покупок.  Итак, начнем с того, что в каждом чеке есть QR-code, если его распознать, то мы получим следующую строку:  t=20190320T2303&s=5803.00&fn=9251440300007971&i=141637&fp=4087570038&n=1  В данной строке содержатся:  t — timestamp, время, когда вы осуществили покупку s — сумма чека fn — кодовый номер fss, потребуется далее в запросе к API i — номер чека, он нам потребуется далее в запросе к API fp — параметр fiscalsign, потребуется далее в запросе к API  В рамках решения первого шага нашей задачи мы будем парсить данные чека и собирать их в pandas dataframe, используя модули Python. Мы воспользуемся API (https://habr.com/ru/post/358966/), который отдает данные по чеку с сайта налоговой. В начале получим аутентификационные данные: import requests your_phone = '+7XXXYYYZZZZ' #нужно указать ваш телефон, на него придет СМС с паролем r = requests.post('https://proverkacheka.nalog.ru:9999/v1/mobile/users/signup', json = {""email"":""email@email.com"",""name"":""USERNAME"",""phone"":your_phone})В результате выполнения POST-запроса мы получим пароль в виде SMS на указанный мобильный телефон. Далее, мы будем использовать его в переменной pwd Теперь распарсим нашу строку со значениями из QR-кода: import re qr_string='t=20190320T2303&s=5803.00&fn=9251440300007971&i=141637&fp=4087570038&n=1' t=re.findall(r't=(\w+)', qr_string)[0] s=re.findall(r's=(\w+)', qr_string)[0] fn=re.findall(r'fn=(\w+)', qr_string)[0] i=re.findall(r'i=(\w+)', qr_string)[0] fp=re.findall(r'fp=(\w+)', qr_string)[0]Будем использовать полученные переменные для извлечения данных.  В посте на Хабре (https://habr.com/ru/post/358966/) довольно подробно изучены статусы ошибок при формировании запроса к API, не буду повторять эту информацию. В начале необходимо проверить, что по данному чеку есть данные, формируем GET-запрос. headers = {'Device-Id':'', 'Device-OS':''} payload = {'fiscalSign': fp, 'date': t,'sum':s} check_request=requests.get('https://proverkacheka.nalog.ru:9999/v1/ofds/*/inns/*/fss/'+fn+'/operations/1/tickets/'+i,params=payload, headers=headers,auth=(your_phone, pwd)) print(check_request.status_code)В запросе необходимо указать headers, хотя бы пустые. В моем случае GET-запрос возвращает ошибку 406, из чего я понимаю, что такой чек находится. Если не указать сумму или дату, то GET-запрос вернет ошибку 400 — bad request. Переходим к самому интересному, получаем данные чека: request_info=requests.get('https://proverkacheka.nalog.ru:9999/v1/inns/*/kkts/*/fss/'+fn+'/tickets/'+i+'?fiscalSign='+fp+'&sendToEmail=no',headers=headers,auth=(your_phone, pwd)) print(request_info.status_code) products=request_info.json()Должны получить код 200 (успешное выполнение GET-запроса), а в переменной products — все, что относится к нашему чеку. Чтобы работать с этими данными воспользуемся pandas и преобразуем все в dataframe. import pandas as pd from datetime import datetime my_products=pd.DataFrame(products['document']['receipt']['items']) my_products['price']=my_products['price']/100 my_products['sum']=my_products['sum']/100 datetime_check = datetime.strptime(t, '%Y%m%dT%H%M') #((https://docs.python.org/3/library/datetime.html#strftime-and-strptime-behavior отформатируем дату)) my_products['date']=datetime_check my_products.set_index('date',inplace=True)Теперь мы имеем рабочий pandas.dataframe с чеками, визуально это выглядит так:",39
"«Шапка» чековых данных  Можно построить гистограмму покупок или посмотреть на все в виде «ящика с усами»: import matplotlib.pyplot as plt %matplotlib inline my_products['sum'].plot(kind='hist', bins=20) plt.show() my_products['sum'].plot(kind='box') plt.show()",41
В завершение элементарно получим описательные статистики в текстовом виде командой .describe(): my_products.describe(),44
"Данные удобно записать в .csv-файл, чтобы в следующий раз дополнить статистику: with open('hyper_receipts.csv', 'a') as f:              my_products.to_csv(f, header=True)",46
Обзор Yandex DataLens  http://leftjoin.ru/all/obzor-yandex-datalens/,47
Карта Machine Learning алгоритмов  http://leftjoin.ru/all/karta-machine-learning-algoritmov/,48
"Парсим данные каталога сайта, используя Beautiful Soup (часть 1)  http://leftjoin.ru/all/parsim-dannye-kataloga-sayta-ispolzuya-beautiful-soup-chast-1/",49
"Парсим данные каталога сайта, используя Beautiful Soup и Selenium (часть 2)  http://leftjoin.ru/all/parsim-dannye-kataloga-sayta-ispolzuya-beautiful-soup-i-selenium/",50
Как посчитать Retention?  http://leftjoin.ru/all/retention-rate/,51
Диаграмма матрицы BCG (Boston Consulting Group)  http://leftjoin.ru/all/excel-chart-matrix-bcg/,52
Аналитический мерч  http://leftjoin.ru/all/looker-merch/,53
Нововведения в Redash v8  http://leftjoin.ru/all/new-in-redash-v8/,54
Настройка алертов в Redash  http://leftjoin.ru/all/redash-alerts/,55
"Сегодня при поддержке телеграмм-канала Русский Маркетинг (@smmrus) рассказываем про аналитику в маркетинге и про расчет эффективности маркетинга. В посте рассматриваем ключевые принципы построения аналитики в маркетинге, подробно обсуждаем фреймворк AARRR и предлагаем подход к построению иерархии метрик.   Читайте, лонгрид наполнен полезностями и интересностями, включая разборы кейсов в разных индустриях!  http://leftjoin.ru/all/metrics-for-marketing-analytics/",56
"Выходим из праздников, включаемся в рабочий ритм и читаем статью с обзором Looker: http://leftjoin.ru/all/looker-overview/",58
"Для изучающих Python и желающих его изучать: еще почти сутки заманчивое предложение от DataCamp (скидка 75% на годовую подписку!).   Пост не оплачен, я рекомендую эту платформу, так как с ее помощью действительно можно в относительно сжатые сроки овладеть базовым уровнем Python🎖",59
"📊 Визуализация — важнейшая составляющая при использовании данных для принятий управленческих решений.  Несколько полезных ссылок, чтобы прокачать свои навыки в ней: - Онлайн-книга Claus O. Wilke — Fundamentals of Data Visualisation Довольно подробно разобраны do и don't в вопросе отображения данных - Color for data visualization от Adobe Spectrum Действительно рабочие палитры для графиков, правила применения для категориальных переменных.   #visualisation #links",60
Про английскую версию блога: https://leftjoin.ru/all/angliyskaya-versiya-bloga/,61
"Краткий отчет о Kazahstan Marketing Conference 2020, на которую был приглашен в качестве спикера. Пост наполнен полезными материалами (моя презентация + шаблон технического задания на аналитику) 💥",62
#воскресноечтиво  Делюсь интересным постом на hackernoon о data science пирамиде потребностей.,64
Продолжаем изучать интерфейс Redash. Сегодня пост об использовании параметров инструмента 🎚.,65
Визуализация и отчеты всегда строятся на аналитической архитектуре. В сегодняшней заметке много технических деталей о Clickhouse и проблемах его подключения к Kafka Cluster на Amazon MSK. Спойлер: все технические проблемы решены с большой помощью гуру Clickhouse. Как? Подробности в заметке 🔧,66
"Февраль и март выдаются достаточно насыщенными месяцами: например, я участвую в школе наставников от Яндекс.Практикум по направлению данных, поэтому только сейчас восполняю пробел в постах.  Сегодня о когортном анализе в Redash.",67
"О том, как с помощью Python собрать информацию о количестве просмотров, кликов и затрат по рекламным кампаниям Facebook –– в новом материале.  http://leftjoin.ru/all/collecting-costs-from-facebook-api/",68
"Сегодня посмотрим, как выгруженные из Facebook данные по рекламным кампаниям передать в Redash, используя формат json и сервер на aiohttp.  http://leftjoin.ru/all/give-json-data-to-redash/",69
"Смотрим, как арендовать бесплатную машину под управлением Ubuntu с Amazon Web Services и установить туда колоночную СУБД от Яндекса Clickhouse:  http://leftjoin.ru/all/stavim-clickhouse-na-aws/",70
"В новом материале модернизируем наш скрипт, получающий данные рекламных кампаний с Facebook: теперь он будет отправлять их в Clickhouse и собирать в материализованное представление.  http://leftjoin.ru/all/materialized-view-in-clickhouse/",71
"Пробуем себя в новом формате – сегодня у нас пятничный лонгрид. Научимся брать данные с ВК, отправлять их по Spreadsheet API в Google Docs и анализировать в Redash.  http://leftjoin.ru/all/get-data-from-vk/",72
"В далёком 2011 году для отчёта одной телеком-компании мы строили диаграмму «Градусник» — эта диаграмма показывает, насколько фактические данные соответствуют ожиданиям. Сегодня разберём, как построить такую диаграмму в Python при помощи библиотеки matplotlib.  http://leftjoin.ru/all/postroenie-diagrammy-gradusnik/",73
"С 2019 года на каждом чеке должен присутствовать QR-код, по которому можно получить интересную информацию о своих покупках и обрабатать её. Рассказываем, как это сделать на Python. http://leftjoin.ru/all/sobiraem-dannye-s-chekov-gipermarketov-na-python/",74
"Интересовались когда-нибудь, сколько в месяц тратите на молочные продукты или на сладкое? К сожалению, в чеках категории товаров не указываются, а обрабатывать вручную еженедельные покупки — неудобно. В новом пятничном лонгриде обучим модель машинного обучения на Python, которая сама классифицирует товары на категории!  http://leftjoin.ru/all/stroim-model-predskazaniya-kategorii-produktov/",75
"Перевели шпаргалку по оконным функциям от learnsql.com: вспоминаем их синтаксис, отличие от агрегатных функций, а также функции ранжирования, распределения и немного теории о рамках. За cheatsheet спасибо Telegram-каналу @dataeng!  http://leftjoin.ru/all/window-functions-cheatsheet/",76
"Не всегда QR-сканер способен различить код на изображении. Разбираемся, как средствами библиотеки scikit-image провести предобработку изображения так, чтобы выделить на нём QR-код.  http://leftjoin.ru/all/obrabotka-izobrazheniya-s-chekom-dlya-poiska-qr-koda/",78
"Сегодня научимся работать с API социальной сети Untappd, создавать внешние словари для Clickhouse и подключаться к AWS по SFTP:  http://leftjoin.ru/all/untappd-clickhouse-dictionaries/",79
"Мы уже рассказывали, как имитировать скроллинг страницы для прогрузки каталога сайта. Сегодня поговорим, как при помощи Selenium находить и проводить нажатие кнопки на примере Untappd:  http://leftjoin.ru/all/selenium-button/",80
"В одном из прошлых материалов мы показали, как при помощи библиотеки matplotlib в Python построить диаграмму Градусник: сегодня разбираемся, как уже с библиотекой plotly сделать интерактивную диаграмму Водопад, которую затем можно будет встроить к себе на сайт.  http://leftjoin.ru/all/waterfall-chart/",81
"Перевели материал о том, как верно выбрать шрифт для визуализации данных и подобрать подходящую типографскую систему для вашего проекта.   http://leftjoin.ru/all/choosing-font-for-data-vis/",82
"В течение последней недели в России произошло важное событие: голосование за (или против?) принятие поправок к Конституции. В новом материале мы провели семантический анализ мнений пользователей ВКонтакте из постов новостной ленты по ключевому слову «конституция» за последнюю неделю и выяснили, какой процент людей писал об этом событии в положительном тоне, а какой — в негативном.  http://leftjoin.ru/all/constitution-sentiment-analysis/",83
"Во время парсинга больших сайтов на Selenium нередко возникает риск получить бан по IP-адресу: в таком случае лучше использовать прокси. Сегодня пишем скрипт, который сам парсит бесплатные прокси, проверяет их работоспособность и возвращает «живые».   http://leftjoin.ru/all/selenium-proxy/",84
"Поговорили в формате видеоподкаста c Романом Буниным – руководителем команды визуализации данных Яндекс.Такси, автором блога revealthedata и телеграм-канала @revealthedata о визуализации данных и Tableau. Обсудили как аналитика влияет на компанию, как построить карьеру в этой сфере и чего ожидать от области в будущем.",85
"Записал подкаст с Николаем Валиотти — аналитиком и экспертом по работе с данными, автором канала Left Join и основателем компании Valiotti Analytics.  Было интересно по-общаться про построение полного цикла аналитики: от построения dwh до визуализации и поиска инсайтов. Поговорили про роль аналитики в компании, современные open source продукты на примере одного из проектов и обсудили будущее аналитики.  0:37 — Про карьерный путь 3:21 — Как пришёл в аналитику 8:05 — Что нравится в профессии 10:00 — Какие вызовы есть в профессиональной сфере  14:16 — Как выбрать: новые и модные технологии, или старые и надежные 19:05 — Пример проекта по построению полного цикла аналитики 30:51 — Как будет развиваться область BI 33:35 — Про Self-Service аналитику 38:33 — Про роль аналитика в компании 43:17 — Будущее аналитики 50:02 — Про построение хранилища данных и разработку dwh  55:25 — Блиц",86
"Сегодня пройдём первый этап построения дашборда библиотекой dash от plotly: подготовим график и данные к нему. Строить будем scatter plot, который отобразит отношение количества отзывов пивоварен с Untappd к их средней оценке.  http://leftjoin.ru/all/scatter-plot-untappd/",88
Коллеги из канала @rockyourdata проводят интересный вебинар по визуализации данных с Ромой из @revealthedata.   Рекомендую к просмотру 👨‍🎓,89
А вот и ссылка на будущий вебинар!  Роман один из топ экспертов по визуализации данных и созданию дашбордов! Такое нельзя пропустить!🤗 Сам с удовольствием посмотрю.  Ставьте напоминание в ютубе. 15 июля (уже сегодня вечером). https://youtu.be/xSp5ykKcQho,90
"Вторая часть цикла материалов о библиотеке Dash: сегодня построим простой дашборд с двумя регулируемыми параметрами на основе графика, который мы сделали в предыдущем материале и запустим его на локальном сервере.  http://leftjoin.ru/all/dashboard-python-1/",91
Продолжаем разбираться с библиотекой Dash: разворачиваем дашборд из прошлого материала на сервисе AWS Elastic Beanstalk.  http://leftjoin.ru/all/dashboard-python-2/,92
"В сегодняшнем материале учимся размечать готовый geojson файл с административными границами, чтобы визуализировать последние данные по коронавирусу на карте России.  http://leftjoin.ru/all/plotly-russian-map/",93
"Спасибо каналу @dataeng за подбор ссылок с саммита Apache Airflow 🙂  Удалось ознакомиться с перечисленными докладами, делюсь своими впечатлениями.  Автор доклада ""Advanced Apache Superset for Data Engineers"" из компании Preset рассказывает о возможностях Superset. Я предпочитаю Redash, но некоторые вещи в Superset из категории advanced features показались интересными: * Например, можно определить не только пользовательский параметр в рамках SQL-запроса, но и пользовательскую функцию (в Jinja). * Помимо этого в запросах по расписанию удобно можно задать output table для результатов, а сам запрос использовать в Airflow. * Можно определить пользовательский плагин визуализации * Можно динамически создавать графики через REST API (однако в самом докладе трюк не удался)  Второй доклад в основном рассказывает о пирамиде потребностей в данных организации, достаточно известный концепт о сравнении с пирамидой потребностей Маслоу, где в основе пирамиды — Data engineering, а в вершине — Machine Learning.  Доклад ""Airflow the perfect match in our analytics pipeline"" в большей степени об описании опыта использования Airflow в облачной инфраструктуре на больших массивах данных (десятки террабайт в дейтинге). В частности, автор рассказывает о том, как именно у них настроены DAGs в рамках аналитического пайплайна.  Из интересного: динамическое создание задач в Airflow как часть пайплайна.  Последний доклад из подборки посмотрел очень бегло, в частности, из-за менее понятного мне английского языка автора. Из ключевых хайлайтов в докладе: о месте Airflow в архитектуре, масштабировании. Отдельно можно отметить довольно подробное погружение в плагины Airflow (API).",94
"В сети стали доступны доклады с прошедшего Airflow Summit 2020. Безусловно все докладчики выступали удалённо (мы этот год запомним навсегда) Из докладов, которые хотелось бы отметить:  - Advanced Apache Superset for Data Engineers - Data engineering hierarchy of needs - Airflow the perfect match in our analytics pipeline - Data flow with Airflow @ PayPal  Смотреть весь плейлист",95
Продолжаем разбираться с Untappd и перейдем к построению дашборда на основе Dash. Сегодня обсудим как можно использовать столь популярный в веб-разработке Bootstrap фреймворк для создания своего аналитического дашборда. http://leftjoin.ru/all/untappd-bootstrap-dashboard-part-1/,96
"Достаточно давно я уже описывал опыт работы с сайтом налоговой для получения данных из чеков. К сожалению, старый метод больше не работает. Нам пришлось изрядно потрудиться и соорудить новый метод получения данных. О нем — в новом материале:  http://leftjoin.ru/all/nalog-ru-client/",97
"Недавно мне на глаза попалась статья про то, что дашборды мертвы. Интересная точка зрения, однако под соусом их смерти продается работа с notebooks в целом и на одном конкретном сервисе в частности.  Подготовили перевод этой статьи на русский язык: http://leftjoin.ru/all/dashbords-are-dead/",100
"Полезно ознакомиться по нескольким причинам:  1) отличная возможность познакомиться с kaggle тем, кто не знаком 2) повторить pandas никогда не бывает лишним 🙂  3) у Алексея отличные заметки по Python, рекомендую его канал к изучению",102
"Нашёл на Kaggle микрокурс по изучению Pandas, оформленный в виде ноутбуков. Включает в себя разбор всех базовых функций, так что для ознакомления с возможностями библиотеки отлично подходит  https://www.kaggle.com/learn/pandas",103
"Сентябрь наступил, и начинается активная пора всевозможных ивентов. Большая часть в этом году, как все уже понимают, будет в удаленном формате. На этой неделе опубликован список первой части докладов Матемаркетинга-2020, на котором в этом году приму участие.  Из зарубежных конференций рекомендую обратить внимание на https://www.futuredata.org/, которая состоится уже через 4 дня.   Чуть позже будут и другие анонсы.   #events",104
