msg_id,msg_content
69,"Исследователи из Facebook AI Research...  ... ладно-ладно, это наша работа. Просто показать, что я не только пиздеть гаразд.   В чем там соль. Есть такая задача Image Captioning, краткое описание картинки алгоритмом. То-есть ты засовываешь фото чашки на столе, а эйай выдает что-то типо ""A white mug sits on the table"". Если на чашке будет написано ""Шрек 2"" то алгоритм это никогда не прочитает. И если без информации о Шреке можно пережить, то на картинках с часами/вывесками/постерами/ценниками эта информация может быть очень важной, особенно если учесть, что пользуются такими алгоритмами в основном люди с проблемами зрения. Ну вот и наш алгоритм это решает. Через новые данные и модный мультимодальный (зрение+текст+OCR) трансформер.   Интересно, что 95% работы мы сделали за 2 месяца, а потом еще год полировали, полировали, полировали, полировали (ну вы поняли кого заставляли полировать), чтобы получилось красиво, ведь вроде не шарашкина контора, хуйню нельзя выпускать."
70,"Тут Snap тихо выкатил фулл-бади фильтры, где разработчики могут привязывать объекты к 18 точкам на теле человека, а также использовать их как триггеры. Удивлен что это заняло столько времени, ведь алгоритмов по pose detection существует вагон и маленькая тележка. Возможно они не ждут много денег с этой фичи.   В любом случае, уже скоро ожидайте увидеть аналогичные фильтры в Инстаграме и других камера-аппах вашего города."
71,"Славный парень Илон Маск уже в эту субботу покажет работающее демо Neuralink — того самого нейро-интерфейса встраиваемого в мозг. Настраивайте свои радио-приемники на нужную волну и подключайтесь.   Суббота, 02:00 по Москве. Только вы, Илон, и будущее впереди."
73,"Ну и главная новость этой недели, @MLArt выпустил свой колаб для генерации внешности ребенка по фоткам родителей. Это как в FaceApp, только круче! Можно контролировать пропорцию между двумя родителями, а также плавно менять пол и возраст ребенка.   Делитесь если будете скрещивать что-то интересное, например японскую школьницу + тентакли, кек."
78,"Neuralink может не только считывать, но и производить сигналы тем самым стимулируя отдельные участки мозга. Никаких демок или сценариев применения, к сожалению не показали.   В общем, пока совсем не ясно что эта штука может делать, но прежде всего ее представляют как связной элемент между мозгом и компьютером, а когда есть связь — дальше уже можно придумать что с ней делать.   Отдельно меня удивило какой сильный акцент сделали на юзер интерфейсе и фичах, на таком раннем  этапе. ""Что это и зачем это надо пока не понято, но зато оно имеет беспроводную заряду и подключается к телефону по блютузу!"" Ну, Маск — гений, ему виднее.   Главная цель мероприятия, это, по словам Маска, рекрутинг. Опыт работы с мозгом — необязателен."
80,"Интересные рассуждения промелькнули о том, что будет если поместить этот чип в область зрительного кортекса. С одной стороны глаза смогут работать как камеры, и информацию с них можно будет дополнительно обрабатывать и распознавать (объекты там, лица), а с другой, новую зрительную информацию можно будет транслировать прямиком в мозг, такой себе AR.  То ли будущее нас ждет, хлопцы. Страшно представить."
81,"Помните я рассказывал что такое one-shot learning? Тут в популярную библиотеку Hugging Face (🤗 — это их лого) добавили модуль для zero-shot классификации текста, то-есть вообще нового текста, прям совсем никто никогда его не видел, а натренированная моделька может правильно его классифицировать. Если вас интересует МЛ в применении к языку и тексту, вам однозначно стоит заглянуть на канал DL in NLP (Natural Language Processing). Только будьте готовы, что контент там такой, более технический и хардкорный чем у меня (но не менее интересный, если вы в теме).   Как ребята сами себя описывают:  ""Мы публикуем короткие обзоры статей и новости из области обработки естественного языка и нейросетей, всё как вы любите. Всё самое свежее, зачастую в день попадания на архив. А ещё у нас есть чат, где можно пообсуждать NLP и задать интересующие вас вопросы."""
82,"Я сразу не рассказал, но вот уже история подошла к концу, и можно подвести итог. В Великобритании отменили вступительные экзамены из-за ковида, а предполагаемые оценки  выставили сначала учителя, а потом разработанный AI алгоритм. И угадайте что? Алгоритм оказался не таким добреньким и жалостливым как Мария Степановна (или как там у них, Marry Steapanovna, sorry for my english), и поставил оценки ниже чем учителя, и чем отпрыскам хотелось-бы, что вызвало многодневную волну протестов по всей стране.   Закончилось тем, что правительство сказало ""ладно, хуй с вами, ублюдками малолетними"", и выставило высшую из двух оценок.  AI - 0 : человеки - 1"
84,"О, там Hugging Face выкатили обнову для transformers. Обещают, что в новой версии всё будет летать на CPU. Разработчик aitextgen уже сообщил в твиттере, что обновит текстген. Можно будет хостить разных ботов на основе GPT-2 не на дорогущем амазон-сервере с GPU, а на бичарских VDS хостингах за пятак баксов в месяц. И это охуенно!"
85,"Сегодня Фейсбук релизнул Гидру. Это такой тул для более удобного контроля над экспериментами. Не обязательно в рисерче, даже в прикладных алгоритмах постоянно надо перебирать параметры, чтобы найти их оптимальную комбинацию, и тренировать модели с разными конфигами. Для этого нужно редактировать код или даже жонглировать командами в терминале, сохранять отдельно чекопинты, логать результаты... Одним словом — геморрой. Гидра в свою очередь облегчает и упрощает запуск серии экспериментов.   Амри — ее создатель — очень активно агитирует ее юзать, дескать быстро настраивается и значительно облегчает жизнь, и у меня нет причин ему не верить. А еще он всем раздает стикеры с такой трехголовой гидрой, но мне она больше Змея Горыныча напоминает."
86,"Наткнулся тут на пост про вопрос этики в принимаемых ИИ решениях, ребята подняли достаточно острую тему. Этот вопрос остаётся открытым в научных кругах и даже на законодательном уровне люди уже начинают это обсуждать.  Я сам отношусь к лагерю ""да дайте людям работать спокойно, если это приносит пользу"". Большинство данных имеет смысл только на агрегате большого их количества, а их отсутствие — это как раз то, что сдерживает прогресс во многих областях. Никому не интересны личные данные кассиров в Пятерочке, и уж тем более никому не платят за то чтобы рассматривать под лупой твою пипирку.  Авторы канала Новое Электричество сами занимаются разработкой AI для своего собственного проекта и открыто делятся своими мыслями и практическими подходами в решении технических задач. Действительно, ценный материал в русскоязычной ИИ тусовке, который не стыдно рекомендовать. Что говорить, посмотрите сами."
88,"Почитал на досуге больше о GPT-3 и только сейчас осознал всю крутость принципа ее работы. Примеры примерами, они не сильно поражают когда знаешь, что с хорошим датасетом современные модели можно натренировать генерировать что-угодно достаточно успешно. Но вот GPT-3 никто не тренирует и не fine-tune'ит. Тренировочные примеры это просто часть инпута который скармливается модели при каждом запуске. В общем, почитайте лучше оригинальную статью, там много иллюстраций.   Еще нашел интересный пост с нюансами ее применения и небольшим срывом покровов:  - The API is slow. This is expected: the model has 175 billion parameters; it's too big to fit on a GPU (the largest GPU in the world has 48 GB of VRAM). There is currently no information about the infrastructure running GPT-3. - The demos you're seeing around the internet are highly biased. The vast majority of output is of significantly lower quality. - The author trained GPT-3 on his tweets; he estimates that only 30-40% were usable. This implies a 60-70% failure rate. - If it takes three tries to generate a usable React component, it's probably more practical to just write the code yourself. - Everyone is using the same model, so there's no competitive advantage. - With the wrong prompt, you might get racist or sexist output. (Похуй) - There is still no information on API pricing/cost. (Уже есть)"
89,"Любой современный проект, коммерческий или исследовательский, по умолчанию является сложным и требует cкоординированной работы многих людей и машин, с разным набором компетенций.  Для борьбы со сложностью и достижения успешных результатов такой коллективной деятельности требуется применение лучших инженерных практик, доказавших свою эффективность в аэрокосмической, военной и других наукоёмких индустриях. И которые совершенно точно применяет Илон Маск во всех своих проектах.   Узнать про актуальные инженерные подходы можно на канале DX space, где рассказывают про нашу киберфизическую реальность, а также продукты и бизнесы, которая она порождает."
94,"Когда я учил МЛ колаба ещё не было, и я в основном тренил все на своем небольшом ультрабуке. В целом, мне даже хватало, но сейчас я бы так не делал. Для любителей потренировать локально Лямбда (компания которая продаёт железо для МЛ) выпустила такой вот ""Тензорбук"" (кек) с действительно неплохим железом. Хотя с современными алгоритмами вы быстро упретесь в потолок. Так что я, все же, советовал бы колаб про."
99,"TikTok отказал в приобретении Microsoft. По всей видимости Oracle теперь станет представителем TikTok в США. Об этом заявила Microsoft сегодня в блог посте.   Но сердце тиктока это, как известно, не просто видео-приложение, а его затягивающие МЛ алгоритмы, которые в комплект товара не входят (по решению Китайского правительства). Так что посмотрим еще что из этой сделки в итоге получится.  И самое главное: вот тут можно почитать подробное описание тех самых алгоритмов, если вам интересны системы рекомендаций."
101,"Facebook представил свои планы по выпуску AR очков уже в следующем году. Очки — это ближайший к нам интерфейс будущего. Управлять ими наверно будет не очень удобно, но вот смотреть в них контент, использовать камеру, или ассистента — прям идеально. И для AR это единственный способ наконец стать полезным в ежедневной жизни (метки, указания, подсказки). Машинного обучения там, конечно, хуева туча, особенно в ассистенте и распознавании голоса.  Сам ивент, Facebook Connect, проходит в VR/AR, что очень характерно."
104,"Помните нейросеть от Лебедева? С нее теперь делают отдельный сервис, считай SaaS за подписку.  Я особо про это не писал раньше, ибо нe хочу даже углубляться. Конечно же это не одна end-to-end сеть которая генерирует результат, а никаких GAN там нет и подавно. Даже по результатом видно что это тупо набор эвристик которые перебирают геометрические формы / цвета / шрифты / искривление, и максимум на одном-двух этапах там что-то предиктится, типо цветовая гамма или локация. Вроде-бы они еще писали раньше что на промежуточных этапах там люди поправляли-и выбирали, ну вот это уж точно нейросеточная нейросеть, ничего не скажешь.  Есть куча неплохих генераторов логотипов, и результаты у них получаются куда интереснее. А у Лебедева классный дизайн который люди делают."
108,"Diffbot построили систему, которая читает код сайтов, анализирует текст, классифицирует изображения и собирает их в то, что, по их словам, является крупнейшим в мире графом знаний интернета, согласно MIT Technology Review.  Веб-кроулер Diffbot перестраивает граф каждые четыре-пять дней, добавляя примерно 150 миллионов новых ассоциаций субъект-глагол-объект ежемесячно. Этот граф охватывает более 10 миллиардов объектов — людей, предприятия, продукты, местоположение и т. д. — и триллион бит информации об этих объектах.  Бот использует распознавание изображений для классификации контента по 20 категориям, таким как новости, обсуждения и фото. Он анализирует любой текст, чтобы найти утверждения, состоящие из субъекта, глагола и объекта, и сохраняет их отношения. На данный момент граф охватывает субъект-глагол-объектные ассоциации из 98 процентов интернета почти на 50 языках. Больше 400 компаний таких как Adidas, Nasdaq и Snap уже стали их клиентами."
111,"Предвкушаю грядет волна развлекательных алгоритмов где в StyleGan подмешиваются веса из модели натренированной на других данных. В итоге получается генерировать не только сэмплы из заданного распределения (натренировал на еблетах — генерирует еблеты), но создавать морфинг стиля и низкоуровневых признаков из двух разных распределений (натренировал на еблетах и аниме — генерирует аниме еблеты). Недавно громко прошумевшая GAN которая превращает лица в диснеевских персонажей работает ровно по тому же принципу. Вот, кстати, хорошее видео с объяснением. Я даже не писал об этом потому что мне StyleGan кажется тупым и однообразным. Что уже только не генерировали, а смысла все равно не прибавилось."
113,"Интересных технических новостей пока на горизонте не видно, наверняка из-за отсутствия конференций в этот период. Но вот интересная новость на пересечении эйай и бизнеса:  GPT-3 оказалось будет эксклюзивно лицензирована для Microsoft, что очень странно, учитывая что OpenAI всегда была некоммерческой компанией построенной на улучшении ИИ для всего человечества через открытый рисерч (откуда и Open-). Но Microsoft оказался более нуждающимся чем остальное человечество. Даже Маск, один из основателей, написал в Твиторе: “This does seem like the opposite of open. OpenAI is essentially captured by Microsoft”."
114,"Новый продукт от NVIDIA — Maxine, свистоперделка для ваших видеозвонков с некоторыми полезными функциями. Целый AI-комбайн на самом деле: апскейл видео, удаление фона, деноизинг, дипфейки, перевод и одна из самых интересных фич — сжатие битрейта передаваемого видео через восстановление картинки из facial key-points на девайсе (тоже в своем роде по принципу работы дипфейков). Супер интересно! Много из этих вещей я видел по отдельности или носил в голове, так что интересно посмотреть как это будет работать на практике. Есть конечно спорные моменты, например нужен ли файнтюнинг моделей, или же все будет работать из коробки (zero-shot), и какие вообще юзкейсы фич типо сжатия трафика, если Maxine и так очень требователен к железу, что обычно коррелирует с качеством интернет соединения."
116,"УХ БЛЯ, там Nvidia выкатила обнову для StyleGAN2. Из примечательного: 1)значительно лучшие результаты для датасетов с менее чем ~ 30к  изображений 2)Поддержка смешанной точности: ~ в 1,6 раза быстрее обучение, ~ в 1,3 раза быстрее вывод, ~ в 1,5 раза ниже потребление памяти графического процессора. 3)Автоматический выбор гиперпараметров: разумные готовые результаты для любого разрешения, набора данных и количества графических процессоров. 4)Отрефакторили код, теперь будет проще перепиливать для своих велосипедов. 5)Ещё какая-то хуйня.  Скорее бы вечер, чтоб прийти с работы и потестить.  Ссылка на репозиторий"
125,"Хороший пример того, как AI новости преподносят массам, и что за ними скрывается на самом деле (спасибо Владу):"
127,"Осторожно, занудный комментарий (но вдруг кому-то будет интересно)  Новость выглядит как bs, либо плохо описывает что произошло (что нельзя проверить, тк ссылки на источник нет). Мультиязычные модели, которые переводят без промежуточного языка используются ещё с 2016 года. Возможно, особенность данной системы именно в том, что одна модель поддерживает не ~10 языков, а 100. При сотне языков есть большая сложность - модель начинает плохо работать для высокоресурсных языков (английский, французский), что можно увидеть вот тут. Это можно обойти тем, что сделать модель в 1000 раз больше, но такое не запихаешь в прод. Может быть фейсбук смог решить именно эту проблему.  Прочитал ещё раз, вроде бы разница ещё более тонкая. Особенность системы в том, что она не использует синтетические данные для тренировки (backtranslation). Про цепочки языков там вообще ни слова, там именно backtranslaiton описывают. По-моему этот подход это уже забытые технологии древних, хотя могу быть неправ, тк с MT-продом близко не сталкивался)."
131,"Майкрософт запустил ноу-код конструктор МЛ решений. Все красиво и бесплатно, но как всегда — очень ограничено. Я с трудом верю в универсальные МЛ конструкторы, так как профессионалы знают, даже с одними данными можно просидеть несколько дней подводя формат под модель, не говоря уже под ""подстраивание"" самой модели. Так что поиграться — норм, сделать что-то серьезное — придётся грызть гранит науки.  Гугловский AutoML пока остается моим лидером ноу-код МЛ решений 🌚"
133,"На удивление практичное применение AI: гугл выпустил ""CTRL+F на максималках"" который может искать текст по файлам включая пдф-документы, фото, и аудиозаписи. Похожее, но чуть другое делали также с GPT-3 для семантического поиска текста (то-есть не идеального совпадения, а совпадающего по смыслу). Для меня, как для любителя быстро найти то что мне надо минуя разглагольствования это очень хорошие новости!"
134,"""Сбер(егательный) выпустил русскую GPT-3"". Ага, сплю и вижу как OpenAI предоставил код эксклюзивно для российской компании.   Ни кода, ни весов GPT-3 OpenAI не релизил на публику, и пока не собирается! Даже компании партнёры которые тесно сотрудничают с OpenAI, вроде Replica, работают исключительно через API.   Не дайте себя обмануть. Сбер представил некую LG модель отдаленно напоминающую GPT-3 с целью хайпануть. Как минимум она в 150 раз меньше чем GPT-3.  То, что публикуют в статьях это капля в море реальной имплементации. Не верите? Вспомните как весь мир поносил OpenAI за код GPT-2 несмотря на то что статья была. Сейчас та же история повторяется с Google Health которые не опубликовали код и тренировочные параметры (упс). У людей так бомбануло, что даже письмо в Nature написали. Но для инженеров Сбера это не помеха, конечно. Да. Чтобы делать утверждения такой силы, что это и есть GPT-3, как минимум Сберу нужно повторить результаты бенчмарков и доказать, что их модель дает такие же результаты, и то, это обязательное, но не достаточное условие."
